Date,Sex,FW Size
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,M,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,F,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,F,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,F,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,M,
19-May-21,?,
19-May-21,?,
19-May-21,F,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,F,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,M,
19-May-21,M,
19-May-21,?,
19-May-21,?,
19-May-21,?,
19-May-21,?,
